window,stab__Other,ot__Other,stab__Mobility,ot__Mobility,stab__RadioContext,ot__RadioContext,stab__LTE,ot__LTE,stab__NR,ot__NR,stab__Throughput,ot__Throughput,stab__IRAT,ot__IRAT
55,0.998537057389517,0.012948683652117517,0.5855926406407488,0.8683301343477124,0.9096761093060532,0.08352548296526269,0.4649698303497457,0.9988803027956601,0.7009126976846395,0.5417602832748257,0.4311705959910074,1.0450273693525218,0.8751219623552855,0.6781018518788406
56,0.9985390196357239,0.009699243205845372,0.5879485849324068,0.8398697444418415,0.9096761093060532,0.07384599907710088,0.32446461665914034,1.3936300882361135,0.878280714688608,0.36362516420106467,0.7286007625753965,0.6185509336179654,0.8751219623552855,0.6826333825079737
57,0.998537057389517,0.013274653344371855,0.3225521424091131,1.1803707371791892,0.9096761093060532,0.0909994563998738,0.6467199485806492,0.5551509025548658,0.5574216045092351,1.2671712668556943,0.927962070641273,0.6682904672740441,0.6026421816985166,0.5533710944316579
58,0.9985360762678597,0.013367919274140442,0.2837750737268859,1.4558541970506478,0.9096761093060532,0.08261750689228271,0.5689561367318744,0.7107311168940456,0.6890577969863845,0.44921236366885864,0.148890935799335,2.0099000643347216,0.5258866399347788,0.7735553473628093
59,0.9985400007602734,0.012120773022099783,0.3652544765562054,1.2281308092980199,0.9096761093060532,0.06933450316097595,0.5958368558112628,0.8894702648224234,0.7001042831835127,0.579341501249939,0.7989149213976479,0.816350437144036,0.5258866399347788,0.7412949732307341
60,0.9985360762678597,0.014217232769595918,0.5904933506884859,0.9985402271083772,0.9096761093060532,0.0932409647426641,0.6916185973185299,0.5611964589231333,0.7195174510045995,0.5302567553053189,0.6136611798330991,0.637100805199593,0.5258866399347788,0.6067656391033986
61,0.9985311706740327,0.011760071618548673,0.5906817006430287,0.6332994774194818,0.9096761093060532,0.08913140905104683,0.7206382052113327,0.5282441137396797,0.6180112539578273,0.8890391472794914,0.6660744051043198,0.6981059313494158,0.5258866399347788,0.7122356680981994
62,0.9985311706740327,0.013119278233771181,0.3669570612732381,1.0715923420002098,0.9096761093060532,0.09056612554402216,0.6790746063766075,0.4441503522074879,0.7090810789202321,0.6645303482758633,0.6625590431714956,0.791063316315427,0.5258866399347788,0.8049959864344403
63,0.9985341140274369,0.010830390736222217,0.38160165334058116,1.0600592492682397,0.9096761093060532,0.08774670253340525,0.7109663677813621,0.5901316881665211,0.6574163572524602,0.538084793504171,0.5836940436481068,0.8504848287694372,0.5258866399347788,0.7883339634663595
64,0.9985350951471663,0.012945592219431422,0.6069169755142502,0.8326780178033336,0.9096761093060532,0.08012409642668268,0.7302690379849635,0.4097601027084617,0.6738159224994681,0.564341775372382,0.7672269079171569,0.6076638395676965,0.5258866399347788,0.8253664110410543
65,0.9992633517828637,0.021594446274427026,0.014519894763810458,5.033010807646141,0.9096761093060532,0.09268894312752254,0.6535387749890652,0.5685806796442245,0.7508015432077454,0.5257680392633788,0.8783016412873266,0.631306351222519,0.822296199953939,0.6027513021641488
66,0.9992633517828637,0.021797876460055106,0.014519894763810458,5.421121363408663,0.9096761093060532,0.07511253001262455,0.6756491644645549,0.6028657369762442,0.7116361297963907,0.7432221174722389,0.7345172151097699,0.703265158582231,0.822296199953939,0.6894183720525231
67,0.9992633517828637,0.021826389425020222,0.5245911844487545,0.8756269194821266,0.9096761093060532,0.07483255619135638,0.5492730610489742,0.8381370267671242,0.883483924617842,0.46109860331076913,0.5553834475754704,0.90346077639327,0.6525234855049042,0.6886506402398591
68,0.9992633517828637,0.021476891311332062,0.5188482602404536,0.9802258451701603,0.9096761093060532,0.06182993862960208,0.4692563393923048,0.9610721744753878,0.8975564750866096,0.4417122134219913,0.5400213060967758,0.8496052488298964,0.6525234855049042,0.8418502363946416
